id,title,text,author
0,Le nere scale della mia taverna,"Le nere scale della mia taverna
tu discendi tutto intriso di vento.
I bei capelli caduti tu hai
sugli occhi vivi in un mio firmamento
remoto.
Nella fumosa taverna
ora è l’odore del porto e del vento.
Libero vento che modella i corpi
e muove il passo ai bianchi marinai.",Sandro Penna
1,"Era l’alba su i colli, e gli animali","Era l’alba su i colli, e gli animali
ridavano alla terra i calmi occhi.
Io tornavo alla casa di mia madre.
Il treno dondolava i miei sbadigli
acerbi. E il primo vento era si l’erbe.
Altissimo e confuso, il paradiso
della mia vita non aveva ancora
volto. Ma l’ospite alla terra, nuovo,
già chiedeva l’amore, inginocchiato.
Cadeva la preghiera nella chiusa
casa entro odori di libri di scuola.
Navigavano al vespero felici
gridi di uccelli nel mio cielo d’ansia.",Sandro Penna
2,Quando tornai al mare di una volta,"Quando tornai al mare di una volta,
nella sera fra i caldi viali
ricercavo i compagni di allora…
Come un lupo impazzito odoravo
la calda ombra fra le case. L’odore
antico e vuoto mi cacciava all’ampia
spiaggia sul mare aperto. Lì trovavo
l’amarezza più chiara e la mia ombra
lunare ferma su l’antico odore.",Sandro Penna
3,Ero solo e seduto. La mia storia ,"Ero solo e seduto. La mia storia
appoggiavo a una chiesa senza nome.
Qualche figura entrò senza rumore,
senz’ombra sotto il cielo del meriggio.
Nude campane che la vostra storia
non raccontate mai con precisione.
In me si fabbricò tutto il meriggio
intorno ad una storia senza nome.",Sandro Penna
4,Felice chi è diverso,"Felice chi è diverso
essendo egli diverso.
Ma guai a chi è diverso
essendo egli comune.",Sandro Penna
5,Mattino,"Dalla finestra aperta
Entran le voci calme
Del fiume,
I canti lontani
Delle lavandaie
Laggiù fra i pioppi e gli ontani,
Presso la pura corrente
Che mormora sì dolcemente
Il fumo dei vapori
Si confonde con quello delle case
Sotto il riso trionfale
Del cielo.
Sull’altra riva, nel viale
Gli affiches azzurri
Delle compagnie di navigazione
Riempiono di nostalgia e d’illusione
Il cuore degli uomini
Seduti sulle panchine.
Penso a una fanciulla bionda.
Fra poco sarà mezzogiorno
E una gran tenerezza m’invade,
E una voglia di piangere senza perché.",Attilio Bertolucci
6,Ginestre,"Gioventù sacrificata
delle ginestre
grama e splendente
per le pendici d’Appennino.
Vento e luce
ti nutrono.
Solitudine t’adorna.",Attilio Bertolucci
7,Commedia della sera,"Passano carri di fieno
davanti a ville addormentate,
arlecchini dormono
all’ombra di lucenti magnolie.
Fra breve il tramonto
coprirà di porpora le nuvole,
serena la sera scenderà
battendo gli zoccoli sulla strada.
I cavalli lentamente
masticano un po’ d’erba fresca.",Attilio Bertolucci
8,At home,"Il sole lentamente si sposta
sulla nostra vita, sulla paziente
storia dei giorni che un mite
calore accende, d’affetti e di memorie.
A quest’ora meridiana
lo spaniel invecchia sul mattone
tiepido, il tuo cappello di paglia
s’allontana nell’ombra della casa.",Attilio Bertolucci
9,Uccelli di passo,"Le belle giornate se ne vanno rapide,
viene l’autunno.
Ma di questa dolcezza che riempie
l’aria del mezzogiorno ventilata
sull’ultimo sudore del volto,
di questo riposo dell’anno
ti ricorderai
e del sul quieto affanno?
Oh, fuggir via quando nel rosa eterno
della sera imminente
s’allontanano uccelli di passo
e portano sulle ali cangianti
l’estrema luce del giorno,
oh, fuggire ai paesi distanti
dove quiete finestre si chiudono
sui relitti del cielo.",Attilio Bertolucci
10,Vermiglia era,"Vermiglia era la sera e io Lasciatemi
dormire Che io continui a dormire procedevo
verso il collinoso cumulo di dimore
avvicinandomi al vermiglio volto della sera
che una sciarpa fuggente Oh fa’
che io dorma avanzavo
per una salita dolce quasi impercettibile
luce del giorno e rosso della sera
su me che camminavo impegnando
una mortale contesa e io
impotente seguivo
la direzione della sera
chiedendo pietà e ancora sonno a questi lari benigni.",Attilio Bertolucci
11,Ritornare qui,"Ritornare qui è come risuscitare
e sentirsi chiedere per quanto tempo
oh non molto l’inverno arriva presto
e siamo attrezzati tutt’al più per l’autunno.
A questo sole che esalta i colori dei fiori
e inebbria le farfalle in voli di sbieco
verso la profondità degli abissi domestici
dove la plastica ammaccata stinge il suo azzurro sul verde
il bambino ingessato per quaranta giorni abbronza
tardivamente i pomelli montanari sta
imparando la pazienza delle malattie auguri
e auguri ancora per gli anni che verranno.
L’inganno utile dell’ora legale
non impedisce che le giornate si accorcino
e che il vento suoni con flabelli di foglie
condannate in maniera visibile e tragica
dalla luce nemica del cielo rasserenato.",Attilio Bertolucci
12,Mattino d’autunno,"Un pallido sole che scotta
Come se avesse la febbre
E fa sternutire quando
La gioia d’esser giovani
E di passeggiare di mattina
Per i viali quasi deserti
E’ al colmo, illumina l’erba
Bagnata e la facciata rosa
Di un palazzo. Tutto è gioviale
Buongiorno e sereno, raffreddore
E mezzastagione. E Goethe
In mezzo alla piazza sorride.",Attilio Bertolucci
13,Milano,"a Vittorio Sereni
Tutto il giorno la pioggia grigia e brevi
schiarite, tutto il giorno questa attesa
nella cara città del Nord di tante
sconosciute esistenze come foglie
intorno a me stormenti.
Lontano, sotto un cielo più chiaro,
la campagna già estiva s’addormenta
al nascosto cucù.
Ma già voci familiari aprono la sera
rossa di nubi, indugiano le ore
in una quieta voglia di speranza.
Tenero inferno, addio, ecco già fugge
l’incanto dei tuoi lastrici anneriti
che il sole obliquo indorerà tramontando
nell’unanime moto della folla.",Attilio Bertolucci
14,Siamo tutti politici (e animali),"Siamo tutti politici (e animali):
premesso questo, posso dirti che
odio i politici odiosi: (e ti risparmio anche soltanto un parco abbozzo di catalogo
esemplificativo e ragionato): (puoi sceglierti da te cognomi e nomi, e sparare
nel mucchio): (e sceglierti i perché, caso per caso)
ma, per semplificare, ti aggiungo che, se è vero che,
per me (come dico e ridico) è politica tutto,
a questo mondo, non è poi tutto, invece, la politica: (e questo mi definisce,
sempre per me, i politici odiosi, e il mio perché:
amo, così, quella grande politica
che è viva nei gesti della vita quotidiana, nelle parole quotidiane
(come ciao, pane, fica, grazie mille): (come quelle che ti trovi graffite dentro i cessi,
spraiate sopra i muri, tra uno slogan e un altro, abbasso, viva):
(e poi, lo so che non si dice, ma, alla fine, mi sono odiosi e uomini e animali)",Edoardo Sanguineti
15,Occhiali,"Mi sono riadattato agli occhiali (che la patente, a me, rende obbligati, ormai,
in un paio solo di giorni: vedo tutto più netto: (ma niente mi è, per questo,
diventato migliore, in verità: un semaforo è sempre un semaforo, un marciapiede
è un marciapiede: e io sono sempre io, così)
(quanto al doloroso senso di capogiro,
vaticinato, con l’emicrania, da un Istituto Ottico di corso Buenos Aires, al quale
mi sono rivolto, questa volta, l’ho sperimentato e l’ho superato): (l’oculista
affermava che, con il tempo, io mi ero costruito una mia rappresentazione arbitraria
della realtà, adesso destinata, con le lenti, a sfasciarsi di colpo):
e ho potuto
sperare, per un attimo, di potermi rifare, a poco prezzo, una vita e una vista)",Edoardo Sanguineti
16,"Se d’amore si muore, siamo morti noi","se d’amore si muore, siamo morti noi:
siamo un romanzo d’appendice in atto: (anzi,
siamo un romanzo nazional-popolare, ma calibraticamente camuffato da romanzetto rosa): (anzi,
siamo un romanzo osè): (un rosè): (anzi, una coppia di vegeti, di vegetanti vecchietti,
torchiati nel torpido torchio delle nozze d’argento): (a un passo, a un pelo, appena,
da un romanzo nero): (siamo un romanzo rosso, quasi): e noi facciamo, parliamoci chiaro,
pena piena, e pietà
comunico le coordinate necessarie; torno da Como, è il 26
settembre, sono le 21,37, ho chiesto il conto al ristorante, prenderò il rapido
delle 21,50, e ti ho capito: è tutto:
perché, per te, per me, non è possibile
sopportarla più oltre, questa ambivalenza insolubile, nel vino della vita che viviamo:
questa vita, anzi: (la vita): (annacquata, innacquata): e se ti dico e se ti scrivo che
non sono altro che un contemporaneo, a capirmi, a capirci, se va bene, abbiamo, in tutto
e per tutto, il 25% dei nostri eredi naturali, allo stato attuale delle cose:
così, con tanti auguri, ti aggiungo, poi, che noi
se d’amore si vive, siamo vivi.",Edoardo Sanguineti
17,Ballata delle donne,"Quando ci penso, che il tempo è passato,
le vecchie madri che ci hanno portato,
poi le ragazze, che furono amore,
e poi le mogli e le figlie e le nuore,
femmina penso, se penso una gioia:
pensarci il maschio, ci penso la noia.
Quando ci penso, che il tempo è venuto,
la partigiana che qui ha combattuto,
quella colpita, ferita una volta,
e quella morta, che abbiamo sepolta,
femmina penso, se penso la pace:
pensarci il maschio, pensare non piace.
Quando ci penso, che il tempo ritorna,
che arriva il giorno che il giorno raggiorna,
penso che è culla una pancia di donna,
e casa è pancia che tiene una gonna,
e pancia è cassa, che viene al finire,
che arriva il giorno che si va a dormire.
Perché la donna non è cielo, è terra
carne di terra che non vuole guerra:
è questa terra, che io fui seminato,
vita ho vissuto che dentro ho piantato,
qui cerco il caldo che il cuore ci sente,
la lunga notte che divento niente.
Femmina penso, se penso l’umano
la mia compagna, ti prendo per mano.",Edoardo Sanguineti
